anno,PROVINCIA,COMUNE,ISTAT_COD,ISTAT_RER,ISTAT_PROV,ISTAT_COM,LATITUDE,LONGITUDE,Abitanti,RD(kg),RI(kg),RU(kg),RD(%),RI(kg/ab),RU(kg/ab)
2010,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2108,466642,765570,1232212,37.9,363,585
2011,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2105,703947,457800,1161747,60.6,217,552
2012,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2095,727472,409010,1136482,64.0,195,542
2013,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2065,766160,368320,1134480,67.5,178,549
2014,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2080,842729,382059,1224788,68.8,184,589
2015,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2098,848772,337860,1186632,71.5,161,566
2016,PC,AGAZZANO,8033001,8,33,1,44.967072,9.502025,2079,904335,364070,1268405,71.3,175,610
2010,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4897,1915601,1010120,2925721,65.5,206,597
2011,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4931,1854405,1042380,2896785,64.0,211,587
2012,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4883,2245111,1068840,3313951,67.7,219,679
2013,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4840,2100391,1044700,3145091,66.8,216,650
2014,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4784,2274808,1063965,3338773,68.1,222,698
2015,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4720,2185625,934320,3119945,70.1,198,661
2016,PC,ALSENO,8033002,8,33,2,44.887492,9.962509,4727,2168846,945550,3114396,69.6,200,659
2010,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,989,255130,129619,384749,66.3,131,389
2011,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,977,246458,141760,388218,63.5,145,397
2012,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,990,338085,102790,440875,76.7,104,445
2013,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,995,270729,103650,374379,72.3,104,376
2014,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,1000,313630,114070,427700,73.3,114,428
2015,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,978,299528,113980,413508,72.4,117,423
2016,PC,BESENZONE,8033003,8,33,3,44.973838,9.980199,981,276431,105130,381561,72.4,107,389
2010,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,3032,379249,1164300,1543549,24.6,384,509
2011,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,3006,394053,1102200,1496253,26.3,367,498
2012,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,2987,393199,1036510,1429709,27.5,347,479
2013,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,2936,449063,996260,1445323,31.1,339,492
2014,PC,BETTOLA,8033004,8,33,4,44.778703,9.596344,2877,432113,1038330,1470443,29.4,361,511
