Anno,ISTAT_COD,PROVINCIA,COMUNE,ISTAT_RER,ISTAT_PROV,ISTAT_COM,LATITUDE,LONGITUDE,Abitanti,PP,CS,altro,C,E,CdR,R.S.A.,Macro,Rifiuto1,Rifiuto2,CER,TOTALE(Kg)
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,1062685,0,,,0,0,Rifiuti non differenziati,Rifiuti urbani non differenziati,Rifiuti urbani non differenziati,200301,1062685
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,30,0,Raccolta Differenziata a smaltimento,Imballaggi contenenti residui di sostanze pericolose o contaminati,Imballaggi con sostanze pericolose a smaltimento,150110,30
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,2840,0,Raccolta Differenziata a recupero,Metalli ferrosi,METALLI FERROSI,200140,2840
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,7,0,Raccolta Differenziata a smaltimento,Rifiuti tossici e/o infiammabili a smaltimento,Vernici contenenti sostanze pericolose a smaltimento,200127,7
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,17929,,,4787,0,Raccolta Differenziata a smaltimento,Ingombranti a smaltimento,INGOMBRANTI a smaltimento,200307,22716
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,7,0,Raccolta Differenziata a recupero,Cartucce e toner a recupero,Toner,80318,7
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,59260,0,,,1288,0,Raccolta Differenziata a recupero,Carta e cartone,CARTA e CARTONE,200101,60548
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,7,0,Raccolta Differenziata a smaltimento,Farmaci e medicinali a smaltimento,FARMACI a smaltimento,200132,7
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,8073,0,Raccolta Differenziata a recupero,Legno,LEGNO,200138,8073
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,51,0,Raccolta Differenziata a recupero,Legno,LEGNO Imballaggi,150103,51
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,467,0,Raccolta Differenziata a recupero,Oli e grassi vegetali,OLI VEGETALI,200125,467
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,93,0,Raccolta Differenziata a recupero,"Oli, filtri e grassi minerali",OLI MINERALI,200126,93
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,491,0,Raccolta Differenziata a recupero,Pile e batterie a recupero,BATTERIE,200133,491
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,37950,0,,,363,0,Raccolta Differenziata a recupero,Plastica,PLASTICA Imballaggi,150102,38313
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,1422,0,Raccolta Differenziata a recupero,Pneumatici fuori uso a recupero,PNEUMATICI,160103,1422
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,635,,,2229,0,Raccolta Differenziata a recupero,Raee a recupero,RAEE con sostanze pericolose,200135,2864
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,642,,,2338,0,Raccolta Differenziata a recupero,Raee a recupero,RAEE con CFC,200123,2980
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,10,0,Raccolta Differenziata a recupero,Raee a recupero,Tubi fluorescenti,200121,10
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,73840,0,,,33,0,Raccolta Differenziata a recupero,Vetro,VETRO Imballaggi,150107,73873
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,21600,,,390,0,Raccolta Differenziata a recupero,Verde,VERDE di giardini e parchi,200201,21990
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,27483,,,1511,0,Raccolta Differenziata a recupero,Ingombranti a recupero,INGOMBRANTI,200307,28994
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,1744,0,Raccolta Differenziata a recupero,Inerti da costruzione e demolizione a recupero,INERTI di origine domestica,170107,1744
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,1620,,,0,0,Raccolta Differenziata a smaltimento,Materiali isolanti e materiali da costruzione contenenti amianto,Inerti di origine domestica contenenti amianto a smaltimento,170605,1620
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,37,0,Raccolta Differenziata a recupero,Cartucce e toner a recupero,CARTUCCE e TONER,160216,37
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,315,0,Raccolta Differenziata a smaltimento,Imballaggi contenenti residui di sostanze pericolose o contaminati,Contenitori fitofarmaci bonificati a smaltimento,150106,315
2015,8040050,FC,Verghereto,8,40,50,43.80411,12.05591,1907,0,0,0,,,34,0,Raccolta Differenziata a smaltimento,Rifiuti tossici e/o infiammabili a smaltimento,Estintori a smaltimento,160504,34
